"group1","group2","group3","group4","group5","group6","temp","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.0352e+14,1.1951e+15,2.9371e+15,1.9921e+15,1.241e+15,2.8733e+14,1061.2,1,14.485,14.485,94,0
3.0338e+14,1.1946e+15,2.9358e+15,1.9912e+15,1.2405e+15,2.872e+14,1061.2,1,14.648,14.648,94,0
3.0325e+14,1.1941e+15,2.9344e+15,1.9903e+15,1.2399e+15,2.8708e+14,1061.1,1,14.81,14.81,94,0
3.0311e+14,1.1935e+15,2.9331e+15,1.9894e+15,1.2394e+15,2.8695e+14,1061.1,1,14.973,14.973,94,0
3.0297e+14,1.193e+15,2.9318e+15,1.9885e+15,1.2388e+15,2.8682e+14,1061.1,1,15.136,15.136,94,0
3.0284e+14,1.1924e+15,2.9305e+15,1.9876e+15,1.2382e+15,2.8669e+14,1061,1,15.299,15.299,94,0
3.027e+14,1.1919e+15,2.9292e+15,1.9867e+15,1.2377e+15,2.8657e+14,1061,1,15.461,15.461,94,0
3.0257e+14,1.1914e+15,2.9278e+15,1.9859e+15,1.2371e+15,2.8644e+14,1060.9,1,15.624,15.624,94,0
3.0243e+14,1.1908e+15,2.9265e+15,1.985e+15,1.2366e+15,2.8631e+14,1060.9,1,15.787,15.787,94,0
3.0229e+14,1.1903e+15,2.9252e+15,1.9841e+15,1.236e+15,2.8618e+14,1060.8,1,15.95,15.95,94,0
3.0216e+14,1.1898e+15,2.9239e+15,1.9832e+15,1.2355e+15,2.8606e+14,1060.8,1,16.112,16.112,94,0
3.0202e+14,1.1892e+15,2.9226e+15,1.9823e+15,1.2349e+15,2.8593e+14,1060.7,1,16.275,16.275,94,0
3.0189e+14,1.1887e+15,2.9213e+15,1.9814e+15,1.2343e+15,2.858e+14,1060.7,1,16.438,16.438,94,0
3.0175e+14,1.1882e+15,2.9199e+15,1.9805e+15,1.2338e+15,2.8567e+14,1060.7,1,16.601,16.601,94,0
3.0161e+14,1.1876e+15,2.9186e+15,1.9796e+15,1.2332e+15,2.8554e+14,1060.6,1,16.763,16.763,94,0
3.0148e+14,1.1871e+15,2.9173e+15,1.9787e+15,1.2327e+15,2.8542e+14,1060.6,1,16.926,16.926,94,0
3.0134e+14,1.1866e+15,2.916e+15,1.9778e+15,1.2321e+15,2.8529e+14,1060.5,1,17.089,17.089,94,0
3.0121e+14,1.186e+15,2.9147e+15,1.9769e+15,1.2316e+15,2.8516e+14,1060.5,1,17.251,17.251,94,0
3.0107e+14,1.1855e+15,2.9133e+15,1.976e+15,1.231e+15,2.8503e+14,1060.4,1,17.414,17.414,94,0
3.0093e+14,1.1849e+15,2.912e+15,1.9751e+15,1.2304e+15,2.8491e+14,1060.4,1,17.577,17.577,94,0
3.008e+14,1.1844e+15,2.9107e+15,1.9742e+15,1.2299e+15,2.8478e+14,1060.3,1,17.74,17.74,94,0
3.0066e+14,1.1839e+15,2.9094e+15,1.9733e+15,1.2293e+15,2.8465e+14,1060.3,1,17.903,17.903,94,0
3.0052e+14,1.1833e+15,2.908e+15,1.9724e+15,1.2287e+15,2.8452e+14,1060.2,1,18.065,18.065,94,0
3.0035e+14,1.1826e+15,2.9063e+15,1.9713e+15,1.228e+15,2.8436e+14,1060.2,1,18.228,18.228,94,0
3.0017e+14,1.182e+15,2.9047e+15,1.9701e+15,1.2273e+15,2.8419e+14,1060.1,1,18.391,18.391,94,0
3e+14,1.1813e+15,2.903e+15,1.969e+15,1.2266e+15,2.8403e+14,1060.1,1,18.553,18.553,94,0
